
Currently Loaded Modules:
  1) autotools      4) rocm/6.0.2     7) openmpi4/4.1.5
  2) cmake/3.25.2   5) gnu12/12.2.0   8) hpcfund
  3) prun/2.3       6) ucx/1.14.0     9) rocshmem/1.6.3

 

1, 256, 1
Rank 0, ROC_SHMEM 
Rank 7, ROC_SHMEM 
Rank 5, ROC_SHMEM 
Rank 2, ROC_SHMEM 
Rank 4, ROC_SHMEM 
Rank 1, ROC_SHMEM 
Rank 3, ROC_SHMEM 
Rank 6, ROC_SHMEM 
IN USE - mpi 0/8, roc_shmem 0/8 , ndevices=8,cur=0, GPU_ID=N/A,node=t007-009.hpcfund
max_blocks=1, max_threads=256, iter=1
IN USE - mpi 1/8, roc_shmem 1/8 , ndevices=8,cur=1, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 2/8, roc_shmem 2/8 , ndevices=8,cur=2, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 3/8, roc_shmem 3/8 , ndevices=8,cur=3, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 4/8, roc_shmem 4/8 , ndevices=8,cur=4, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 5/8, roc_shmem 5/8 , ndevices=8,cur=5, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 6/8, roc_shmem 6/8 , ndevices=8,cur=6, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 7/8, roc_shmem 7/8 , ndevices=8,cur=7, GPU_ID=N/A,node=t007-009.hpcfund
peer,1,size,32, iter, 1, time, 0.053758, bw, 0.000554
peer,1,size,64, iter, 1, time, 0.052800, bw, 0.001129
peer,1,size,128, iter, 1, time, 0.053760, bw, 0.002217
peer,1,size,256, iter, 1, time, 0.047360, bw, 0.005034
peer,1,size,512, iter, 1, time, 0.048640, bw, 0.009803
peer,1,size,1024, iter, 1, time, 0.053440, bw, 0.017846
peer,1,size,2048, iter, 1, time, 0.053280, bw, 0.035799
peer,1,size,4096, iter, 1, time, 0.050080, bw, 0.076172
peer,1,size,8192, iter, 1, time, 0.050720, bw, 0.150422
peer,1,size,16384, iter, 1, time, 0.054240, bw, 0.281320
peer,1,size,32768, iter, 1, time, 0.057600, bw, 0.529819
peer,1,size,65536, iter, 1, time, 0.073920, bw, 0.825693
peer,1,size,131072, iter, 1, time, 0.091200, bw, 1.338491
peer,1,size,262144, iter, 1, time, 0.127520, bw, 1.914530
peer,1,size,524288, iter, 1, time, 0.200000, bw, 2.441408
peer,1,size,1048576, iter, 1, time, 0.364000, bw, 2.682866
peer,1,size,2097152, iter, 1, time, 0.658560, bw, 2.965753
peer,1,size,4194304, iter, 1, time, 1.289920, bw, 3.028291
peer,1,size,8388608, iter, 1, time, 2.532160, bw, 3.085313
peer,1,size,16777216, iter, 1, time, 4.937281, bw, 3.164700
peer,1,size,33554432, iter, 1, time, 9.804481, bw, 3.187321
peer,2,size,32, iter, 1, time, 0.047201, bw, 0.000631
peer,2,size,64, iter, 1, time, 0.052960, bw, 0.001125
peer,2,size,128, iter, 1, time, 0.047200, bw, 0.002526
peer,2,size,256, iter, 1, time, 0.048160, bw, 0.004951
